id,service_recordid,taxonomy_recordid,taxonomy_id,taxonomy_detail
8440,8392,8440,TD-1100.1400,
8441,8392,8441,BH-3800.7000,
8442,8393,8442,TD-1100.1400,
8443,8393,8443,BH-3800.7000,
8444,8394,8444,TD-1100.1400,
8445,8394,8445,BH-3800.7000,
8446,8395,8446,TD-1100.1400,
8447,8395,8447,BH-3800.7000,
8448,8397,8448,BD-5000.1500,
8449,8397,8449,LT-1750.1700,
8450,8397,8450,PH-0320.0200,
8451,8397,8451,PH-0320.0400,
8452,8397,8452,PH-0320.0600,
8453,8397,8453,PH-7000.6000-060,
8454,8397,8454,RD-1500,
8455,8399,8455,LJ-5000.6600,
8456,8399,8456,PH-6100.1800-250,
8457,8399,8457,PH-6100.1800-680,
8458,8399,8458,PH-6100.6800,
8459,8399,8459,TJ-3000.8000,
8460,8400,8460,TJ-3000.8000,
8461,8400,8461,PH-6100.6800,
8462,8400,8462,PH-6100.1800-680,
8463,8400,8463,PH-6100.1800-250,
8464,8400,8464,LJ-5000.6600,
8465,8401,8465,LT-1750.1750,
8466,8402,8466,LJ-5000.6600,
8467,8402,8467,PH-6100.1800-250,
8468,8402,8468,PH-6100.1800-680,
8469,8402,8469,PH-6100.6800,
8470,8402,8470,TJ-3000.8000,
8471,8403,8471,TI-1800.8100,
8472,8403,8472,HL-8120.7800-200,
8473,8405,8473,RF-2000,
8474,8405,8474,RF-2500,
8475,8405,8475,RM-3300.6600-050,
8476,8405,8476,RP-5000.1500,
8477,8405,8477,TJ-3000.8000,
8478,8406,8478,BD-1800.2000-640,
8479,8407,8479,LN-1500,
8480,8407,8480,LE,
8481,8407,8481,LV-2600,
8482,8407,8482,LH-6700.6400-040,
8483,8408,8483,LV-6000.2400,
8484,8408,8484,LV-6000.2550,
8485,8408,8485,LJ-5000.6600,
8486,8408,8486,LJ-5000.6500,
8487,8409,8487,LV-2600,
8488,8409,8488,RP-6400.1500,
8489,8409,8489,RP-6400.0200,
8490,8409,8490,RD-6800.6500,
8491,8411,8491,BH-8400.6000-280,
8492,8414,8492,TH-2600,
8493,8414,8493,TH-2600.1580,
8494,8414,8494,TH-1500.2000,
8495,8415,8495,BV-8950.1800-190,
8496,8415,8496,TH-2600,
8497,8417,8497,NL-1000.8500-850,
8498,8417,8498,NL-6000.2000-220,
8499,8417,8499,NL-5000.5000-520,
8500,8418,8500,NL-5000.5000-520,
8501,8418,8501,NL-6000.2000-220,
8502,8418,8502,NL-1000.8500-850,
8503,8419,8503,BD-5000.0200,
8504,8420,8504,TH-1500.2000,
8505,8420,8505,TH-2900.1750-100,
8506,8420,8506,TH-2900.1750-650,
8507,8420,8507,TH-2900.1800-180,
8508,8421,8508,TH-2600.1850,
8509,8422,8509,BM-6500.6500-650,
8510,8423,8510,LF-4900.1500-500,
8511,8424,8511,PH-2360.2400,
8512,8424,8512,PH-6100.6800,
8513,8425,8513,PH-6100.6800,
8514,8425,8514,PH-2360.2400,
8515,8426,8515,PN-8100.4500-240,
8516,8426,8516,TC-5500.2500,
8517,8430,8517,RX-8450.1150-150,
8518,8430,8518,RX-8450.1150-180,
8519,8430,8519,RF-3300,
8520,8430,8520,RF-2500,
8521,8430,8521,PN-8100.0500-070,
8522,8430,8522,PN-8100.0500-180,
8523,8430,8523,LF-5280.8900,
8524,8430,8524,TJ-3000.8000,
8525,8431,8525,HL-8500,
8526,8431,8526,HL-8700,
8527,8431,8527,ND-2000.6500-340,
8528,8431,8528,ND-2000.6500-360,
8529,8432,8529,PH-2360.8000,
8530,8433,8530,PN-8100.0200-800,
8531,8434,8531,PN-8100.0200-800,
8532,8435,8532,BH-7000.8100-800,
8533,8435,8533,PX,
8534,8435,8534,TB-7000.6000,
8535,8436,8535,FT-2700.4400,
8536,8437,8536,PH-6100.6800,
8537,8442,8537,RP-1500.1400,
8538,8442,8538,TJ-3000.1500,
8539,8442,8539,TJ-3000.8500-850,
8540,8446,8540,LT-1750.0650,
8541,8446,8541,LV-0500,
8542,8447,8542,LT-1750.0650,
8543,8447,8543,LV-0500,
8544,8448,8544,LT-1750.0650,
8545,8448,8545,LV-0500,
8546,8449,8546,LT-1750.0650,
8547,8449,8547,LV-0500,
8548,8450,8548,LT-1750.0650,
8549,8450,8549,LV-0500,
8550,8451,8550,LT-1750.0650,
8551,8451,8551,LV-0500,
8552,8452,8552,LT-1750.0650,
8553,8452,8553,LV-0500,
8554,8453,8554,PH-6100.6800,
8555,8458,8555,PN-8100.1000-800,
8556,8459,8556,HD-1800.6500-150,
8557,8460,8557,HD-1800.6500-150,
8558,8461,8558,HD-1800.6500-150,
8559,8462,8559,HD-1800.6500-150,
8560,8463,8560,HD-1800.6500-150,
8561,8464,8561,HD-1800.6500-150,
8562,8465,8562,HD-1800.6500-150,
8563,8466,8563,HD-1800.6500-150,
8564,8467,8564,HD-1800.6500-150,
8565,8468,8565,HD-1800.6500-150,
8566,8469,8566,HD-1800.6500-150,
8567,8470,8567,HD-1800.6500-150,
8568,8471,8568,HD-1800.6500-150,
8569,8472,8569,HD-1800.6500-150,
